Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
Bhutan,South Asia,109.8058,5.190215,13.064,16.9,15.72094,67.44273,0.42
Bolivia,Latin America and the Caribbean,65.82179,6.720796,15.022,7.9,80.73052,39.15066,Empty
Bonaire,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Bosnia And Herzegovina,Europe and Central Asia,68.36832,6.00333,13.277,117.6,49.35848,187.1122,0.35
Botswana,Sub-Saharan Africa,20.60346,1.509254,11.426,9.8,31.55418,100.9583,Empty
Bouvet Island,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Brazil,Latin America and the Caribbean,56.25517,13.05356,15.579,47.4,101.142,151.063,0.49
Brunei Darussalam,East Asia and Pacific,Empty,Empty,13.699,Empty,Empty,Empty,Empty
Bulgaria,Europe and Central Asia,74.94107,5.13674,13.868,155.8,60.43866,167.4557,0.33
Burkina Faso,Sub-Saharan Africa,22.77397,1.067757,8.092,10.3,25.10237,20.26724,Empty
Burundi,Sub-Saharan Africa,19.86454,0.135465,9.966,9.1,3.560791,5.360539,Empty
Cabo Verde,Sub-Saharan Africa,Empty,Empty,11.531,Empty,Empty,Empty,Empty
Cambodia,East Asia and Pacific,123.3987,1.09175,11.561,15.3,12.09698,8.119893,0.68
Cameroon,Sub-Saharan Africa,31.4994,1.697131,13.381,10.3,15.14285,13.05174,Empty
Canada,North America,60.20312,15.58132,15.961,46.6,90.10026,163.5197,Empty
Cayman Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Central African Republic,Sub-Saharan Africa,20.95825,0.722284,7.286,8.4,39.10184,14.83966,Empty
Chad,Sub-Saharan Africa,27.87495,0.201671,8.186,10.6,46.99885,23.11529,Empty
Chile,Latin America and the Caribbean,119.1085,9.785307,16.768,50.0,92.35886,92.028,0.29
China,East Asia and Pacific,208.4677,21.72,17.85,97.7,70.57,32.32,0.56
Christmas Island,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Cocos (Keeling) Islands,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Colombia,Latin America and the Caribbean,55.51907,12.17193,14.437,26.2,63.07546,119.3731,Empty
Comoros,Sub-Saharan Africa,72.72638,1.22377,13.038,12.1,29.42064,15.73849,Empty
Congo,Sub-Saharan Africa,20.78166,0.077354,12.416,10.2,3.887039,43.07652,Empty
Cook Islands,East Asia and Pacific,26759.34,Empty,Empty,Empty,Empty,Empty,Empty
Costa Rica,Latin America and the Caribbean,64.80021,14.08941,16.092,29.8,61.45511,174.1296,Empty
Cã´Te D'Ivoire,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Croatia,Europe and Central Asia,35.79841,8.654839,15.573,194.2,97.14256,179.7916,0.29
Cuba,Latin America and the Caribbean,70.6292,8.708344,14.469,7.6,61.48557,78.60826,Empty
Curaã§Ao,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Cyprus,Europe and Central Asia,234.6739,7.012381,16.243,61.1,71.7594,168.1186,0.52
